queue_order,diversity,job_duration_s,slow_reconfig_s,fast_reconfig_s,window_size,static_makespan_s,per_job_makespan_s,stratocs_makespan_s,oracle_makespan_s,static_speedup,per_job_speedup,oracle_loss_pct,reconfig_fraction,slow_reconfig_reduction_pct,retained_improvement_pct,verdict
random_avg,low,600,30,0.001,20,12000.0,12250.67975,11699.7215,11650.659749999999,1.0256654399850458,1.0470915696583034,0.42110705361558143,0.0025658730423625898,95.0,94.54922528967076,conditional
clustered,low,600,30,0.01,2,12000.0,12250.859749999996,11958.183499999997,11650.659749999995,1.0034968939889577,1.0244749756516112,2.6395393617087093,0.02510414729795709,50.0,97.90354818833464,drop
random_avg,low,600,30,0.01,2,12000.0,12250.85975,11960.634199999999,11650.659749999999,1.0032913087939586,1.024265092702394,2.660574221987737,0.025099004241662195,50.0,97.20202581866808,drop
clustered,low,600,30,0.01,5,12000.0,12250.859749999996,11782.908500000001,11650.659749999995,1.01842427105328,1.0397144092224764,1.1351181206712857,0.01020121644838369,80.0,96.55099863242063,conditional
random_avg,low,600,30,0.01,5,12000.0,12250.85975,11788.49765,11650.659749999999,1.0179414502119195,1.0392214950214862,1.1830909404079204,0.010196380192956062,80.0,94.95108279106094,conditional
clustered,low,600,30,0.01,10,12000.0,12250.859749999996,11729.9015,11650.659749999995,1.023026493444979,1.044412840977394,0.6801481778746954,0.0051321829087823114,90.0,94.54922528966996,conditional
random_avg,low,600,30,0.01,10,12000.0,12250.85975,11729.9015,11650.659749999999,1.023026493444979,1.0444128409773943,0.6801481778746554,0.0051321829087823114,90.0,94.54922528967097,conditional
clustered,low,600,30,0.01,20,12000.0,12250.859749999996,11699.901499999996,11650.659749999995,1.0256496603838934,1.047090845166517,0.422652030499826,0.0025812183119661315,95.0,94.54922528967101,conditional
random_avg,low,600,30,0.01,20,12000.0,12250.85975,11699.9015,11650.659749999999,1.025649660383893,1.0470908451665168,0.42265203049983047,0.0025812183119661306,95.0,94.54922528967076,conditional
clustered,low,600,120,0,2,12000.0,14050.659749999995,12857.983499999997,11650.659749999995,0.9332723128786099,1.092757643529407,10.362707141971095,0.09332723128786098,50.0,97.90354818833464,drop
random_avg,low,600,120,0,2,12000.0,14050.659749999999,12860.434199999998,11650.659749999999,0.9330944902735024,1.0925494331193888,10.383742002250136,0.09330944902735024,50.0,97.20202581866808,drop
clustered,low,600,120,0,5,12000.0,14050.659749999995,12142.7085,11650.659749999995,0.988247391428362,1.1571273204820816,4.223355248186733,0.03952989565713448,80.0,96.55099863242063,conditional
random_avg,low,600,120,0,5,12000.0,14050.659749999999,12148.297649999999,11650.659749999999,0.9877927522367824,1.1565949887662568,4.271328067923368,0.039511710089471304,80.0,94.95108279106094,conditional
clustered,low,600,120,0,10,12000.0,14050.659749999995,11909.7015,11650.659749999995,1.0075819280609175,1.1797659034527437,2.223408421141171,0.02015163856121835,90.0,94.54922528966996,conditional
random_avg,low,600,120,0,10,12000.0,14050.659749999999,11909.7015,11650.659749999999,1.0075819280609175,1.179765903452744,2.223408421141131,0.02015163856121835,90.0,94.54922528967097,conditional
clustered,low,600,120,0,20,12000.0,14050.659749999995,11789.701499999996,11650.659749999995,1.0178374745111236,1.1917740029295907,1.1934238316418044,0.010178374745111235,95.0,94.54922528967101,conditional
random_avg,low,600,120,0,20,12000.0,14050.659749999999,11789.7015,11650.659749999999,1.0178374745111232,1.1917740029295907,1.1934238316418178,0.010178374745111232,95.0,94.54922528967076,conditional
clustered,low,600,120,0.001,2,12000.0,14050.679749999996,12858.003499999997,11650.659749999995,0.9332708612188512,1.0927574992493974,10.362878806069343,0.09332864157332048,50.0,97.90354818833464,drop
random_avg,low,600,120,0.001,2,12000.0,14050.67975,12860.454199999998,11650.659749999999,0.9330930391668438,1.0925492891906272,10.383913666348393,0.09331085907174966,50.0,97.20202581866808,drop
clustered,low,600,120,0.001,5,12000.0,14050.679749999996,12142.728500000001,11650.659749999995,0.9882457637095319,1.1571270616814,4.223526912285003,0.03953147762465412,80.0,96.55099863242063,conditional
random_avg,low,600,120,0.001,5,12000.0,14050.67975,12148.317649999999,11650.659749999999,0.9877911260152072,1.156594730960964,4.271499732021624,0.039513291359151645,80.0,94.95108279106094,conditional
